1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
457,0.867937170448894,457,0.39605352369251
456,0.872711709661186,456,0.403013434291851
455,0.878197784986001,455,0.41032728205108
454,0.882647852009893,454,0.417257729921886
453,0.887867223340795,453,0.424486927158104
452,0.89221377215109,452,0.431212942458886
451,0.897390392384248,451,0.438538930751589
450,0.902109033813624,450,0.445431343484928
449,0.907182966039912,449,0.452683068298694
448,0.912167297248094,448,0.459589066797292
447,0.916806878835113,447,0.466205708788284
446,0.921642988748737,446,0.473017445732538
445,0.926569897840978,445,0.479577622108745
444,0.931577610898037,444,0.486139452238379
443,0.937047410229365,443,0.492995908149886
442,0.942534959455344,442,0.499612288965146
441,0.947538569283977,441,0.505517590357613
440,0.952466978598526,440,0.511186681515017
439,0.95796793401201,439,0.516923434734453
438,0.963447121772286,438,0.5229073329589
437,0.968528684349465,437,0.527937984805326
436,0.974675305787728,436,0.533485675768322
435,0.980547618557032,435,0.538620123939633
434,0.986260844602887,434,0.543259892584141
433,0.991787728049114,433,0.547650350046272
432,0.998017099610641,432,0.552120671181984
431,1.00435908804025,431,0.556614357425458
430,1.01081924543457,430,0.56064654141302
429,1.01688047849743,429,0.564598808524819
428,1.02365445749714,428,0.568385293078407
427,1.02997109139634,427,0.571830520931477
426,1.03643964804642,426,0.575344823026787
425,1.04284509419662,425,0.578467807111284
424,1.04973369243868,424,0.581619041743694
423,1.05633497821515,423,0.584608760908065
422,1.06314258425569,422,0.58765791690827
421,1.06974229929524,421,0.590381047709204
420,1.07658973161869,420,0.593182682485878
419,1.08382015895058,419,0.596106519192699
418,1.09121228344235,418,0.598911634132804
417,1.09784689117383,417,0.601942433172052
416,1.10512233219851,416,0.604757958169149
415,1.1127841512604,415,0.607531401302809
414,1.12024947216294,414,0.61072480360994
413,1.12776641222553,413,0.613755859653424
412,1.13566045131286,412,0.616990362065329
411,1.14290770800011,411,0.620272781651695
410,1.14981079375272,410,0.623516662133007
409,1.1582467920528,409,0.626592714190203
408,1.16608707089282,408,0.630592755154962
407,1.17451376648311,407,0.634331672213348
406,1.1825938233309,406,0.638491707715603
405,1.19003765709352,405,0.641837064198811
404,1.19725739646416,404,0.645914734681336
403,1.20512253763364,403,0.650311679467614
402,1.21370377456767,402,0.654678873615469
401,1.22257806135667,401,0.659609292023624
400,1.23082734491262,400,0.664529785894721
